ID,Project_Code,PQ,PO_SO,ASN_DN,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,Product_Group,Sub_Classification,Vendor,Item_Description,Molecule_Test_Type,Brand,Dosage,Dosage_Form,Unit_of_Measure_Per_Pack,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,First_Line_Designation,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Delivery_Delay_Days,Weight_Kilograms,Freight_Cost_USD,Line_Item_Insurance_USD,Year,Month,Quarter,Month_Name
11,PC-26023,PQ,PO482873,ASN28066,Nigeria,PMO - NG,From RDC,CIF,Ocean,ANTIMALARIALS,Sub-11,Matrix Laboratories,Medicine K 100mg,Type-11,Brand-A,500mg,Solution,100,2444,63062.32,419.53,6.97,Cipla,Yes,2015-01-27,2015-04-23,2015-04-28,2015-05-02,5,3013.73,3342.22,630.62,2015,4,2,April
12,PC-51090,PQ,PO159622,ASN38892,South Africa,PMO - US,Direct Drop,EXW,Ocean,HRDT,Sub-12,"Aurobindo Unit III, India",Medicine L 100mg,Type-12,Brand-B,50mg,Solution,60,4886,79033.06,413.4,8.16,Matrix,Yes,2015-07-18,2015-09-28,2015-09-29,2015-10-01,1,3467.18,4135.87,790.33,2015,9,3,September
13,PC-77221,PQ,PO416359,ASN85577,Vietnam,PMO - US,From RDC,EXW,Truck,Emergency,Sub-13,Ranbaxy Fine Chemicals Limited,Medicine M 100mg,Type-13,Brand-C,200mg,Solution,90,7384,27646.14,412.57,7.59,Cipla,No,2015-02-09,2015-04-26,2015-05-01,2015-05-01,5,6661.98,5301.07,276.46,2015,5,2,May
14,PC-74820,PQ,PO960405,ASN84590,Haiti,PMO - US,From RDC,FCA,Truck,ANTIMALARIA,Sub-14,,Medicine N 100mg,Type-14,Brand-D,500mg,Capsule,120,4074,27446.82,144.95,6.36,Ranbaxy,No,2015-02-12,2015-04-16,2015-04-17,2015-04-17,1,5162.92,2308.73,274.47,2015,4,2,April
15,PC-10769,PQ,PO732942,ASN87173,Haiti,PMO - SA,Direct Drop,EXW,Air Charter,HIV test,Sub-15,Matrix Laboratories,Medicine O 100mg,Type-15,Brand-E,200mg,Capsule,100,7294,67246.37,400.46,0.14,,Yes,2015-08-13,2015-11-09,2015-11-23,2015-11-26,14,6420.27,27479.23,672.46,2015,11,4,November
16,PC-69735,Non-PQ,PO505737,ASN86293,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Truck,ANTIMALARIALS,Sub-16,"Aurobindo Unit III, India",Medicine P 100mg,Type-1,Brand-F,100mg,Tablet,120,3603,72887.49,23.13,5.21,Ranbaxy,Yes,2015-03-20,2015-04-29,2015-04-30,2015-05-01,1,3836.62,2161.43,728.87,2015,4,2,April
17,PC-72955,Non-PQ,PO349109,ASN74771,South Africa,PMO - SA,Direct Drop,CIF,Air,HIV test,Sub-17,"Aurobindo Unit III, India",Medicine Q 100mg,Type-2,Brand-G,500mg,Tablet,120,2458,96016.5,107.2,5.99,Aurobindo Unit III,No,2015-02-16,2015-04-10,2015-04-07,2015-04-11,-3,3462.21,15354.58,960.16,2015,4,2,April
18,PC-74925,PQ,PO386172,ASN37484,Haiti,PMO - US,From RDC,FCA,Ocean,ANTIMALARIALS,Sub-18,Cipla Ltd.,Medicine R 100mg,Type-3,Brand-H,50mg,Solution,120,7970,85144.13,259.68,9.61,Matrix,Yes,2015-05-25,2015-07-24,2015-07-25,2015-07-26,1,8966.28,13186.15,851.44,2015,7,3,July
19,PC-77969,Non-PQ,PO663616,ASN87865,Nigeria,PMO - SA,From RDC,FCA,Truck,Safety,Sub-19,Hetero Unit III India,Medicine S 100mg,Type-4,Brand-I,50mg,Tablet,30,7118,82383.09,206.34,6.54,Matrix,Yes,2015-01-21,2015-03-25,2015-04-15,2015-04-16,21,2329.31,1423.76,823.83,2015,4,2,April
20,PC-15311,PQS,PO389445,ASN37115,Haiti,PMO - NG,Direct Drop,DDP,Ocean,ANTIMALARIA,Sub-20,"Aurobindo Unit III, India",Medicine T 100mg,Type-5,Brand-J,100mg,Capsule,120,8681,69539.11,60.38,5.8,Ranbaxy,Yes,2015-07-11,2015-09-25,2015-09-30,2015-09-30,5,9091.64,12857.52,695.39,2015,9,3,September
21,PC-93104,PQ,PO400159,ASN36038,Uganda,PMO - SA,From RDC,EXW,Truck,HIV test,Sub-1,Hetero Unit III India,Medicine U 100mg,Type-6,Brand-A,100mg,Solution,60,8195,12730.18,25.65,5.46,Aurobindo Unit III,Yes,2015-08-16,2015-10-28,2015-10-31,2015-10-31,3,4357.06,3510.12,127.3,2015,10,4,October
22,PC-63707,PQ,PO842636,ASN46622,Haiti,PMO - SA,Direct Drop,CIF,Air,HIV test,Sub-2,Matrix Laboratories,Medicine V 100mg,Type-7,Brand-B,200mg,Tablet,30,7729,81114.88,307.53,1.12,Cipla,No,2015-03-09,2015-04-11,2015-04-10,2015-04-10,-1,2817.0,6631.17,811.15,2015,4,2,April
23,PC-95305,PQS,PO661133,ASN45886,Côte d'Ivoire,PMO - SA,Direct Drop,CIF,Ocean,ANTIMALARIALS,Sub-3,Cipla Ltd.,Medicine W 100mg,Type-8,Brand-C,500mg,Tablet,30,6249,93596.85,160.17,4.33,Cipla,Yes,2015-07-08,2015-09-19,2015-09-18,2015-09-18,-1,1878.67,1588.3,935.97,2015,9,3,September
24,PC-38693,PQS,PO973250,ASN61284,Zambia,PMO - NG,From RDC,DDP,Truck,Emergency,Sub-4,Hetero Unit III India,Medicine X 100mg,Type-9,Brand-D,500mg,Capsule,100,6946,39681.06,12.9,1.43,Cipla,No,2015-01-15,2015-03-01,2015-03-06,2015-03-07,5,6864.7,5636.41,396.81,2015,3,1,March
25,PC-81932,PQ,PO700682,ASN19901,Zimbabwe,PMO - SA,From RDC,FCA,Ocean,Emergency,Sub-5,Cipla Ltd.,Medicine Y 100mg,Type-10,Brand-E,500mg,Solution,90,3158,32052.53,218.29,0.62,Matrix,Yes,2015-05-10,2015-07-03,2015-07-08,2015-07-08,5,3309.62,3134.98,320.53,2015,7,3,July
26,PC-35658,PQS,PO275231,ASN66377,Zambia,PMO - NG,From RDC,CIF,Air Charter,HIV test,Sub-6,Hetero Unit III India,Medicine Z 100mg,Type-11,Brand-F,500mg,Tablet,90,4725,52725.68,156.85,3.36,Cipla,Yes,2015-09-15,2015-11-11,2015-11-11,2015-11-14,0,4212.67,27905.09,527.26,2015,11,4,November
27,PC-94478,PQ,PO405858,ASN92910,Uganda,PMO - US,From RDC,CIF,Air,HIV test,Sub-7,Hetero Unit III India,Medicine A 100mg,Type-12,Brand-G,200mg,Capsule,100,258,95689.1,290.42,6.49,Aurobindo Unit III,Yes,2015-05-26,2015-08-05,2015-09-19,2015-09-22,45,255.36,1092.65,956.89,2015,9,3,September
28,PC-28431,PQS,PO180722,ASN59862,Zambia,PMO - US,Direct Drop,FCA,Ocean,Safety,Sub-8,Ranbaxy Fine Chemicals Limited,Medicine B 100mg,Type-13,Brand-H,500mg,Solution,90,9971,6032.4,465.26,8.68,Aurobindo Unit III,Yes,2015-04-21,2015-06-30,2015-07-03,2015-07-03,3,9163.69,13571.35,60.32,2015,7,3,July
29,PC-12747,Non-PQ,PO387374,ASN42806,Haiti,PMO - NG,Direct Drop,FCA,Truck,ANTIMALARIA,Sub-9,Cipla Ltd.,Medicine C 100mg,Type-14,,500mg,Capsule,120,8521,71179.18,157.39,8.12,Cipla,Yes,2015-01-02,2015-02-23,2015-03-09,2015-03-13,14,10314.65,9723.93,711.79,2015,3,1,March
30,PC-69150,PQ,PO716842,ASN27659,Côte d'Ivoire,PMO - SA,From RDC,CIF,Ocean,ANTIMALARIALS,Sub-10,Hetero Unit III India,Medicine D 100mg,Type-15,Brand-J,50mg,Solution,60,5725,81652.16,498.58,3.02,Matrix,Yes,2015-03-11,2015-05-28,2015-05-23,2015-05-24,-5,3438.6,2903.02,816.52,2015,5,2,May
31,PC-75725,PQS,PO149262,ASN33453,Nigeria,PMO - US,From RDC,FCA,Air,ANTIMALARIALS,Sub-11,Ranbaxy Fine Chemicals Limited,Medicine E 100mg,Type-1,Brand-A,50mg,Solution,120,4887,79086.17,47.59,0.56,Hetero Unit III,Yes,2015-04-26,2015-06-02,2015-06-05,2015-06-07,3,6852.43,30207.09,790.86,2015,6,2,June
32,PC-94654,PQ,PO141722,ASN40498,Nigeria,PMO - SA,From RDC,EXW,Air,ARV,Sub-12,Ranbaxy Fine Chemicals Limited,Medicine F 100mg,Type-2,,200mg,Solution,90,1780,57110.67,48.7,4.09,Ranbaxy,Yes,2015-04-12,2015-05-25,2015-05-30,2015-06-03,5,1865.11,5814.47,571.11,2015,5,2,May
33,PC-45773,PQ,PO949228,ASN80393,Uganda,PMO - SA,Direct Drop,CIF,Truck,ANTIMALARIALS,Sub-13,Cipla Ltd.,Medicine G 100mg,Type-3,Brand-C,100mg,Capsule,90,6402,92135.74,357.92,3.22,Cipla,Yes,2015-04-29,2015-06-23,2015-06-28,2015-06-29,5,5477.03,4120.88,921.36,2015,6,2,June
34,PC-77435,PQS,PO795519,ASN26312,Zambia,PMO - NG,Direct Drop,FCA,Air Charter,ANTIMALARIA,Sub-14,Matrix Laboratories,Medicine H 100mg,Type-4,Brand-D,50mg,Solution,60,1395,14317.85,375.57,3.78,Cipla,No,2015-01-07,2015-02-19,2015-02-22,2015-02-23,3,762.28,3237.0,143.18,2015,2,1,February
35,PC-66886,PQ,PO340740,ASN11436,Vietnam,PMO - US,From RDC,CIF,Air,HIV test,Sub-15,Cipla Ltd.,Medicine I 100mg,Type-5,Brand-E,100mg,Tablet,30,6924,25269.91,214.32,5.64,Ranbaxy,No,2015-05-24,2015-08-17,2015-08-20,2015-08-24,3,1631.06,7098.73,252.7,2015,8,3,August
36,PC-76803,PQ,PO711340,ASN37569,Vietnam,PMO - NG,Direct Drop,CIF,Air,Safety,Sub-16,Hetero Unit III India,Medicine J 100mg,Type-6,Brand-F,200mg,Solution,30,3976,31388.67,146.59,0.4,Hetero Unit III,Yes,2015-03-09,2015-06-02,2015-06-07,2015-06-07,5,1128.24,5611.35,313.89,2015,6,2,June
37,PC-41551,PQ,PO200808,ASN68813,Côte d'Ivoire,PMO - NG,Direct Drop,DDP,Air Charter,ARV,Sub-17,Matrix Laboratories,Medicine K 100mg,Type-7,Brand-G,50mg,Solution,60,3084,1859.06,398.03,3.77,Cipla,Yes,2015-04-19,2015-05-29,2015-05-24,2015-05-27,-5,1695.32,10435.9,18.59,2015,5,2,May
38,PC-21394,PQ,PO355416,ASN83229,Zimbabwe,PMO - NG,Direct Drop,EXW,Air Charter,Safety,Sub-18,Cipla Ltd.,Medicine L 100mg,Type-8,Brand-H,50mg,Capsule,30,5016,37696.26,478.34,5.63,Cipla,Yes,2015-08-28,2015-10-21,2015-10-26,2015-10-30,5,1696.98,13117.95,376.96,2015,10,4,October
39,PC-79092,PQ,PO362128,ASN55986,Haiti,PMO - NG,Direct Drop,EXW,Air,Safety,Sub-19,Cipla Ltd.,Medicine M 100mg,Type-9,Brand-I,200mg,Solution,90,1923,16905.32,495.0,4.37,Hetero Unit III,Yes,2015-08-12,2015-11-09,2015-11-09,2015-11-12,0,1798.02,8303.56,169.05,2015,11,4,November
40,PC-13890,PQS,PO845569,ASN63177,Zambia,PMO - SA,From RDC,DDP,Ocean,HIV test,Sub-20,Cipla Ltd.,Medicine N 100mg,Type-10,Brand-J,500mg,Tablet,30,2428,72737.99,319.05,6.71,Ranbaxy,No,2015-04-18,2015-05-19,2015-05-24,2015-05-25,5,787.75,402.96,727.38,2015,5,2,May
41,PC-51606,PQ,PO498455,ASN19305,Vietnam,PMO - US,From RDC,DDP,Air Charter,ANTIMALARIALS,Sub-1,Cipla Ltd.,Medicine O 100mg,Type-11,Brand-A,200mg,Tablet,90,8650,42080.33,371.36,1.94,Aurobindo Unit III,No,2015-01-15,2015-02-16,2015-02-21,2015-02-25,5,7843.55,34185.11,420.8,2015,2,1,February
42,PC-90038,PQ,PO870340,ASN42646,Vietnam,PMO - US,From RDC,CIF,Ocean,HRDT,Sub-2,Matrix Laboratories,Medicine P 100mg,Type-12,Brand-B,100mg,Solution,100,9304,70741.49,412.01,1.62,Cipla,Yes,2015-08-29,2015-11-17,2015-11-17,2015-11-17,0,8770.88,8212.39,707.41,2015,11,4,November
43,PC-97313,PQ,PO978383,ASN86126,Zambia,PMO - US,From RDC,EXW,Truck,HIV test,Sub-3,Hetero Unit III India,Medicine Q 100mg,Type-13,Brand-C,100mg,Capsule,120,7881,30071.67,400.44,3.15,Cipla,Yes,2015-04-18,2015-06-09,2015-06-14,2015-06-17,5,8433.55,4091.58,300.72,2015,6,2,June
44,PC-20627,PQS,PO413030,ASN50430,Zimbabwe,PMO - SA,Direct Drop,DDP,Ocean,Emergency,Sub-4,Ranbaxy Fine Chemicals Limited,Medicine R 100mg,Type-14,Brand-D,500mg,Tablet,30,8073,14059.86,496.73,1.11,Matrix,Yes,2015-05-10,2015-07-22,2015-07-22,2015-07-25,0,2173.61,1961.4,140.6,2015,7,3,July
45,PC-18792,Non-PQ,PO989856,ASN78659,South Africa,PMO - SA,From RDC,FCA,Ocean,ANTIMALARIALS,Sub-5,Cipla Ltd.,Medicine S 100mg,Type-15,Brand-E,200mg,Capsule,100,5311,14066.91,406.16,2.44,Hetero Unit III,Yes,2015-01-24,2015-04-01,2015-04-06,2015-04-09,5,5129.97,5184.37,140.67,2015,4,2,April
46,PC-83969,Non-PQ,PO520411,ASN14158,Haiti,PMO - NG,From RDC,CIF,Ocean,Emergency,Sub-6,Ranbaxy Fine Chemicals Limited,Medicine T 100mg,Type-1,Brand-F,200mg,Solution,30,2994,21123.11,332.97,0.96,Cipla,Yes,2015-07-06,2015-09-15,2015-09-14,2015-09-16,-1,901.09,880.88,211.23,2015,9,3,September
47,PC-53001,PQS,PO204697,ASN84236,Uganda,PMO - NG,From RDC,EXW,Truck,ANTIMALARIA,Sub-7,Ranbaxy Fine Chemicals Limited,Medicine U 100mg,Type-2,Brand-G,500mg,Capsule,100,2795,12406.35,191.23,4.08,Matrix,Yes,2015-07-12,2015-08-22,2015-08-19,2015-08-23,-3,3074.22,1271.59,124.06,2015,8,3,August
48,PC-86552,PQS,PO588075,ASN86067,Haiti,PMO - NG,From RDC,CIF,Ocean,Emergency,Sub-8,Ranbaxy Fine Chemicals Limited,Medicine V 100mg,Type-3,Brand-H,200mg,Solution,60,4196,22834.16,301.0,7.14,Aurobindo Unit III,Yes,2015-04-21,2015-06-22,2015-06-25,2015-06-27,3,2324.15,1507.02,228.34,2015,6,2,June
49,PC-33897,PQ,PO331572,ASN37738,Côte d'Ivoire,PMO - NG,From RDC,CIF,Air,ANTIMALARIALS,Sub-9,Cipla Ltd.,Medicine W 100mg,Type-4,Brand-I,50mg,Solution,100,4141,58324.4,440.78,2.94,Hetero Unit III,Yes,2015-08-28,2015-11-04,2015-11-03,2015-11-04,-1,4017.41,13019.66,583.24,2015,11,4,November
50,PC-78148,PQ,PO857130,ASN19879,Uganda,PMO - US,Direct Drop,FCA,Ocean,ARV,Sub-10,Cipla Ltd.,Medicine X 100mg,Type-5,Brand-J,200mg,Capsule,90,5510,26377.27,156.21,0.14,Aurobindo Unit III,Yes,2015-01-14,2015-03-18,2015-04-01,2015-04-03,14,5460.56,6503.05,263.77,2015,4,2,April
51,PC-33483,PQ,PO720587,ASN15543,Zimbabwe,PMO - NG,From RDC,FCA,Truck,Emergency,Sub-11,Cipla Ltd.,Medicine Y 100mg,Type-6,Brand-A,50mg,Tablet,60,1369,34951.71,20.17,5.61,Matrix,Yes,2015-03-25,2015-06-19,2015-06-18,2015-06-22,-1,802.33,572.78,349.52,2015,6,2,June
52,PC-58555,PQS,PO790034,ASN57924,Côte d'Ivoire,PMO - SA,Direct Drop,DDP,Ocean,HRDT,Sub-12,Cipla Ltd.,Medicine Z 100mg,Type-7,Brand-B,200mg,Solution,60,1363,6220.66,166.96,6.95,Ranbaxy,Yes,2015-02-25,2015-03-27,2015-03-30,2015-03-30,3,854.21,500.58,62.21,2015,3,1,March
53,PC-27159,Non-PQ,PO249177,ASN52348,Nigeria,PMO - SA,Direct Drop,FCA,Ocean,Safety,Sub-13,"Aurobindo Unit III, India",Medicine A 100mg,Type-8,Brand-C,50mg,Solution,90,6724,89328.7,480.31,3.97,Hetero Unit III,Yes,2015-07-08,2015-08-19,2015-08-22,2015-08-23,3,6955.09,5444.16,893.29,2015,8,3,August
54,PC-90077,PQ,PO260811,ASN94117,Nigeria,PMO - SA,Direct Drop,EXW,Ocean,HRDT,Sub-14,Hetero Unit III India,Medicine B 100mg,Type-9,Brand-D,100mg,Solution,30,6897,14677.94,398.06,3.04,Ranbaxy,Yes,2015-02-25,2015-03-31,2015-03-26,2015-03-28,-5,2213.29,2024.4,146.78,2015,3,1,March
55,PC-45920,Non-PQ,PO606957,ASN46679,Haiti,PMO - NG,Direct Drop,DDP,Air,HRDT,Sub-15,"Aurobindo Unit III, India",Medicine C 100mg,Type-10,Brand-E,500mg,Tablet,60,5736,35517.92,97.63,4.96,Matrix,Yes,2015-07-09,2015-10-04,2015-10-11,2015-10-15,7,3299.18,9888.39,355.18,2015,10,4,October
56,PC-77121,PQ,PO263041,ASN89118,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Emergency,Sub-16,Matrix Laboratories,Medicine D 100mg,Type-11,Brand-F,100mg,Tablet,30,947,38568.45,10.94,1.1,Hetero Unit III,Yes,2015-08-04,2015-09-17,2015-09-22,2015-09-24,5,296.82,991.67,385.68,2015,9,3,September
57,PC-79479,PQ,PO638785,ASN53888,Uganda,PMO - US,Direct Drop,EXW,Ocean,ANTIMALARIA,Sub-17,"Aurobindo Unit III, India",Medicine E 100mg,Type-12,Brand-G,50mg,Solution,120,4984,77440.5,336.21,6.47,Cipla,Yes,2015-07-31,2015-10-13,2015-10-18,2015-10-20,5,6402.02,6010.93,774.4,2015,10,4,October
58,PC-99475,PQ,PO495032,ASN40276,Uganda,PMO - NG,From RDC,DDP,Ocean,HRDT,Sub-18,"Aurobindo Unit III, India",Medicine F 100mg,Type-13,Brand-H,500mg,Tablet,100,2461,48870.74,291.61,7.36,Matrix,Yes,2015-01-08,2015-02-15,2015-02-12,2015-02-12,-3,2480.71,3306.6,488.71,2015,2,1,February
59,PC-29457,PQ,PO878492,ASN14799,Nigeria,PMO - NG,Direct Drop,FCA,Air Charter,HIV test,Sub-19,"Aurobindo Unit III, India",Medicine G 100mg,Type-14,Brand-I,100mg,Capsule,100,2286,38912.67,46.08,7.08,Matrix,No,2015-09-09,2015-10-12,2015-10-12,2015-10-12,0,2517.64,18472.57,389.13,2015,10,4,October
60,PC-76557,PQ,PO357471,ASN70558,Nigeria,PMO - SA,From RDC,CIF,Air Charter,Safety,Sub-20,Hetero Unit III India,Medicine H 100mg,Type-15,Brand-J,100mg,Capsule,90,597,69891.6,483.17,3.35,Aurobindo Unit III,Yes,2015-07-12,2015-08-22,2015-08-25,2015-08-26,3,602.36,4674.22,698.92,2015,8,3,August
61,PC-87189,PQ,PO192019,ASN46534,Zimbabwe,PMO - SA,Direct Drop,FCA,Truck,ANTIMALARIA,Sub-1,Ranbaxy Fine Chemicals Limited,Medicine I 100mg,Type-1,Brand-A,50mg,Capsule,90,2268,60104.46,310.81,8.44,Ranbaxy,No,2015-08-08,2015-09-23,2015-09-23,2015-09-26,0,2057.9,1371.71,601.04,2015,9,3,September
62,PC-88953,PQ,PO814614,ASN41668,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Ocean,ANTIMALARIALS,Sub-2,Matrix Laboratories,Medicine J 100mg,Type-2,Brand-B,200mg,Capsule,100,6708,8735.32,327.5,9.47,Hetero Unit III,Yes,2015-06-24,2015-08-20,2015-08-27,2015-08-28,7,7687.89,5969.05,87.35,2015,8,3,August
63,PC-62995,PQ,PO209017,ASN14111,Uganda,PMO - SA,Direct Drop,EXW,Air Charter,ARV,Sub-3,Matrix Laboratories,Medicine K 100mg,Type-3,Brand-C,200mg,Solution,120,7233,31957.32,427.53,3.04,Hetero Unit III,Yes,2015-05-23,2015-06-23,2015-06-24,2015-06-28,1,7735.95,52356.6,319.57,2015,6,2,June
64,PC-50757,PQS,PO955817,ASN34686,Vietnam,PMO - SA,From RDC,DDP,Air,ANTIMALARIA,Sub-4,Hetero Unit III India,Medicine L 100mg,Type-4,Brand-D,50mg,Capsule,90,7153,97882.2,171.85,2.7,Cipla,Yes,2015-06-24,2015-08-30,2015-09-06,2015-09-10,7,6421.6,27564.83,978.82,2015,9,3,September
65,PC-19692,PQS,PO318220,ASN82551,Zimbabwe,PMO - NG,Direct Drop,EXW,Air,Safety,Sub-5,"Aurobindo Unit III, India",Medicine M 100mg,Type-5,Brand-E,100mg,Tablet,120,2511,48850.19,281.34,7.07,Hetero Unit III,Yes,2015-04-08,2015-06-16,2015-06-23,2015-06-24,7,2695.67,8212.21,488.5,2015,6,2,June
66,PC-55758,Non-PQ,PO205153,ASN82392,Uganda,PMO - US,Direct Drop,DDP,Air,Safety,Sub-6,Ranbaxy Fine Chemicals Limited,Medicine N 100mg,Type-6,Brand-F,200mg,Solution,90,9813,42995.11,290.21,7.11,Cipla,Yes,2015-05-04,2015-06-20,2015-06-21,2015-06-21,1,8530.69,38163.06,429.95,2015,6,2,June
67,PC-82409,PQ,PO658114,ASN26490,Nigeria,PMO - NG,From RDC,DDP,Ocean,ARV,Sub-7,Cipla Ltd.,Medicine O 100mg,Type-7,Brand-G,200mg,Tablet,60,763,15842.06,483.84,5.15,Hetero Unit III,Yes,2015-07-12,2015-08-26,2015-08-26,2015-08-28,0,528.45,631.01,158.42,2015,8,3,August
68,PC-81211,PQ,PO734322,ASN45194,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,ANTIMALARIA,Sub-8,Hetero Unit III India,Medicine P 100mg,Type-8,Brand-H,100mg,Capsule,30,1066,84067.95,70.09,9.24,Aurobindo Unit III,Yes,2015-06-30,2015-08-10,2015-08-10,2015-08-13,0,285.68,1402.9,840.68,2015,8,3,August
69,PC-75697,PQS,PO708530,ASN24497,South Africa,PMO - NG,Direct Drop,EXW,Ocean,ANTIMALARIALS,Sub-9,Ranbaxy Fine Chemicals Limited,Medicine Q 100mg,Type-9,Brand-I,50mg,Solution,100,8841,14197.48,380.66,1.55,Matrix,Yes,2015-06-10,2015-07-22,2015-07-23,2015-07-23,1,8160.92,6898.44,141.97,2015,7,3,July
70,PC-47065,PQ,PO674388,ASN63516,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Ocean,ARV,Sub-10,,Medicine R 100mg,Type-10,Brand-J,50mg,Solution,30,9365,11403.29,289.7,4.83,Hetero Unit III,No,2015-01-14,2015-03-24,2015-03-25,2015-03-25,1,3293.98,4685.8,114.03,2015,3,1,March
71,PC-42606,PQ,PO845459,ASN98730,Zambia,PMO - SA,From RDC,CIF,Ocean,Safety,Sub-11,Hetero Unit III India,Medicine S 100mg,Type-11,,200mg,Solution,100,4942,44461.03,423.46,0.45,Matrix,Yes,2015-03-19,2015-05-24,2015-05-19,2015-05-20,-5,4677.88,3965.12,444.61,2015,5,2,May
